"Qty","Value","Device","Package","Parts","Description","DIGIKEY","DISP","MF","MPN","PROD_ID","VALUE","VALUE_PART",
"10","","2,15/1,0","2,15/1,0","PAD1, PAD2, PAD3, PAD4, PAD5, PAD6, PAD7, PAD8, PAD9, PAD10","THROUGH-HOLE PAD","","","","","","","",
"1","","ATTINY1634QFN","QFN20","U3","ATtiny1634 8 bit AVR Microcontroller","ATTINY1634-MURCT-ND","","Atmel","ATTINY1634-MUR","","","",
"3","","MOUNTING_HOLE2_NP","2_56","H1, H2, H3","Genaric Mechanical Mounting Hole","","","","","","","",
"2","","R-EU_100R0402","R0402","R6, R7","RESISTOR, European symbol","311-100LRCT-ND","","Yageo","RC0402FR-07100RL","","","100",
"9","0.1uF","C-EU0.1UFC0402","C0402","C1, C2, C3, C4, C6, C7, C8, C9, C10","CAPACITOR, European symbol","490-4759-1-ND","","Murata","GCM155R71C104KA55D","","","",
"4","10k","R-EU_10KR0402","R0402","R3, R4, R5, R8","RESISTOR, European symbol","311-10.0KHRCT-ND","","Yageo","RC0603FR-0710KL","","","10k",
"1","10k","R-EU_P10KR0603","R0603","RREF","RESISTOR, European symbol","P10KDBCT-ND","","Panasonic","ERA-3AEB103V","","","10k",
"1","10k","THERMISTOR10K","R0603","THERM","Thermistor","490-16279-1-ND","","Murata","NCU18XH103F60RB","","","",
"1","10uF","C-EU10UFC0805","C0805","C11","CAPACITOR, European symbol","490-6473-6-ND","","Murata","GRM21BR61C106KE15K","","","",
"1","1uF","C-EU1UFC0603","C0603","C5","CAPACITOR, European symbol","490-10479-1-ND","","Murata","GRM188R61C105KA12D","","","",
"2","4.7k","R-EU_4.7KR0402","R0402","R1, R2","RESISTOR, European symbol","311-4.7KJRCT-ND","","Yageo","RC0402JR-074K7L","","","4.7k",
"1","AVRISP-6","AVRISP-6","AVRISP","ISP1","AVR ISP HEADER","","","","","","","",
"1","DMG3404","MOSFET-NCH-DMG3404L","SOT23-3","Q2","N-channel MOSFETs","DMG3404L-7DICT-ND","","Diodes Incorporated","DMG3404L-7","","DMG3404","",
"1","JUMPER-SMT_3_1-NC_PASTE_SILK","JUMPER-SMT_3_1-NC_PASTE_SILK","SMT-JUMPER_3_1-NC_PASTE_SILK","JP1","Normally closed solder jumper (1 of 2 connections)","","","","","","","",
"1","MAX6070AAUT18","MAX6070AAUT18","SOT23-6L","U6","MAX6070 Low Noise high precision voltage referance","MAX6070BAUT18+TCT-ND","","Maxim","MAX6070BAUT18+T","","","",
"1","MCP3421A3","MCP3421A3","SOT23-6L","U4","MCP342* - Sigma Delta ADC","MCP3421A3T-E/CHCT-ND","MCP3421","Microchip","MCP3421A3T-E/CH","","","",
"1","MS5803-14BA","MS5803-14BA","MS5803","U1","","223-1625-5-ND","","TE","MS580305BA01-00","IC-12111","","",
"1","OSHW-LOGOM","OSHW-LOGOM","OSHW-LOGO-M","LOGO1","Open-Source Hardware (OSHW) Logo","","","","","","","",
"1","POGO_PAD","POGO_PAD","POGO_PAD","U$12","POGO Pad","","","","","","","",
"1","SN65HVD33RHL","SN65HVD33RHL","VQFN-20_POWER","U2","SN65HVD33 - Full Duplex RS-485 Tranciver, with output enable","296-24087-1-ND","","TI","SN65HVD33RHLR","","","",
"1","TPS79733","TPS79733","DCK_R-PDSO-G5","U5","TPS797* - Ultra Low Power Low Dropout Linear Regulator","296-11990-1-ND","","TI","TPS79733DCKR","","","",
"1","TXS0102DQM","TXS0102DQM","DQM_R-PX2SON-N8","U7","TXS0102 - 2 Channel Bidirectional Voltage Level Translator","296-28435-1-ND","","TI","TXS0102DQMR","","","",
