"Qty","Value","Device","Package","Parts","Description","DIGIKEY","DISP","MF","MPN","PROD_ID","VALUE","VALUE_PART",
"1","","ATTINY1634QFN","QFN20","U3","ATtiny1634 8 bit AVR Microcontroller","ATTINY1634-MURCT-ND","","Atmel","ATTINY1634-MUR","","","",
"1","","MOUNTING_HOLE2_NP","2_56","H1","Genaric Mechanical Mounting Hole","","","","","","","",
"1","","TVSSM712","SOT23-3","D2","Generic dual channel TVS diode","CDSOT23-SM712CT-ND","","Bourns","CDSOT23-SM712","","","",
"7","0.1uF","C-EU0.1UFC0402","C0402","C1, C2, C3, C4, C6, C9, C10","CAPACITOR, European symbol","490-4759-1-ND","","Murata","GCM155R71C104KA55D","","","",
"1","100","R-EU_100R0402","R0402","R6","RESISTOR, European symbol","311-100LRCT-ND","","Yageo","RC0402FR-07100RL","","","100",
"4","10k","R-EU_10KR0402","R0402","R3, R4, R5, R8","RESISTOR, European symbol","311-10.0KHRCT-ND","","Yageo","RC0603FR-0710KL","","","10k",
"1","1k","R-EU_R0402","R0402","R1","RESISTOR, European symbol","","","Yageo","","","","",
"1","1uF","C-EU1UFC0603","C0603","C5","CAPACITOR, European symbol","490-10479-1-ND","","Murata","GRM188R61C105KA12D","","","",
"1","AVRISP-6","AVRISP-6","AVRISP","ISP1","AVR ISP HEADER","","","","","","","",
"1","DMG3404","MOSFET-NCH-DMG3404L","SOT23-3","Q2","N-channel MOSFETs","DMG3404L-7DICT-ND","","Diodes Incorporated","DMG3404L-7","","DMG3404","",
"1","LEDBLUE0603","LEDBLUE0603","LED_0603","D1","Genaric LED","732-4966-1-ND","","Wurth","150060BS75000","","","",
"1","MCP9808MSOP","MCP9808MSOP","MSOP_8","U4","MCP9808 - Digital Temperature Sensor","MCP9808T-E/MSCT-ND","","Microchip","MCP9808T-E/MS","","","",
"1","MS5803-14BA","MS5803-14BA","MS5803","U1","","223-1625-5-ND","","TE","MS580305BA01-00","IC-12111","","",
"1","NS5A4684S","NS5A4684S","WQFN10","U8","NS5A4684S - Dual Analog Multiplexer (1:2)","NS5A4684SMNTAGOSCT-ND","NS5A4684","ON Semiconductor","NS5A4684SMNTAG","","","",
"1","OSHW-LOGOM","OSHW-LOGOM","OSHW-LOGO-M","LOGO1","Open-Source Hardware (OSHW) Logo","","","","","","","",
"1","POGO_PAD","POGO_PAD","POGO_PAD","U$12","POGO Pad","","","","","","","",
"1","SN65HVD72DSOIC","SN65HVD72DSOIC","SO08","U2","SN65HVD72 - Half Duplex RS-485 Tranciver, with output enable","296-39179-1-ND","SN65HVD72","TI","SN65HVD72DR","","","",
"1","SOLDERCUP_CONN_QUAD","SOLDERCUP_CONN_QUAD","SOLDERCUP_CONN_QUAD","U$1","","","","","","","","",
"1","TPS79733","TPS79733","DCK_R-PDSO-G5","U5","TPS797* - Ultra Low Power Low Dropout Linear Regulator","296-11990-1-ND","","TI","TPS79733DCKR","","","",
"1","TXS0102DQM","TXS0102DQM","DQM_R-PX2SON-N8","U7","TXS0102 - 2 Channel Bidirectional Voltage Level Translator","296-28435-1-ND","","TI","TXS0102DQMR","","","",
